"lng","lat"
-43.05533045,-22.90653132
-115.0636708,49.5246193
102.86411136,-3.29456545
106.61493,-6.20847
-38.46687809,-13.00247609
-48.83995777,-26.29875796
-44.01094997,-19.90410471
-43.35765718,-21.78014917
106.8541573,-6.3729708
-43.25288282,-22.91783398
-46.6364335,-23.62706706
-45.2291877,-18.2031436
-43.448807,-22.7430077
-43.35576436,-21.74359639
-79.9062781,40.8572982
-75.19368765,40.9858598
-49.27878994,-25.42979844
110.36494,-7.72344
-45.2291877,-18.2031436
-43.2121933,-22.8071106
48.0455775,29.2793946
110.3879664,-7.7769491
-43.97078276,-19.9584353
-43.65217258,-22.64404182
103.8578383,1.2933797
-46.4398265,-23.6507291
-51.1908865,-30.0514696
110.43501,-6.98615
101.78570633,3.00318283
-43.2121933,-22.8071106
127.36916,0.76875
106.5204868,-6.2043756
-87.73040551,45.05982847
121.04016079,14.55874517
115.9295,-3.33628
-38.51431119,-3.73276883
-59.999503,-3.1120886
-0.13720929,51.56055643
-43.18872805,-22.95563844
-43.2688762,-22.9129456
98.86201844,3.56731356
-46.4386832,-23.5448047
-43.21693953,-22.98195948
-43.44013496,-22.7460066
-118.15739829,33.7689415
-70.9861023,42.54447779
-44.2047631,-22.5454905
-52.7871748,-26.2684521
-118.15739829,33.7689415
-46.68078344,-23.56262331
-97.09358823,33.23818444
106.77183,-6.289
-44.1330641,-22.5281238
-1.21673667,52.97851227
115.2366,-8.67521
-3.36875857,40.48439078
-42.0302431,-22.8753338
-43.2683627,-22.9132855
-43.3521924,-22.9343861
-117.12135469,32.57520389
-122.21152514,37.77165303
-73.78838098,40.92485008
111.59894696,-7.14297116
-43.9696221,-19.9372783
-43.34747754,-22.8909641
-40.30868534,-20.13141708
-122.26573774,37.81939034
106.7743444,-6.28967775
0,0
-43.91269402,-19.89937147
-34.8894236,-7.1426318
-76.19345895,42.59445986
-70.98640052,42.54386023
-43.32261233,-23.00719458
-84.28297,39.29945
-46.4399468,-23.6511201
-92.4997679,31.45093172
-77.04697075,38.89698135
107.1735696,-6.821977
-43.05623506,-22.94954033
-42.68615333,-22.71973528
-89.40114811,43.07381502
106.72486,-6.2728
-43.24506205,-22.92931027
-42.5349935,-22.2768904
-43.48672606,-23.022592
-48.961831,-26.9210285
-72.85731628,41.30938199
106.89246,-6.2914
-72.85746085,41.30944074
-43.18710201,-22.96627937
-42.6437135,-22.7190415
-0.27853752,5.57598133
-42.6261034,-19.4880957
-83.74469865,41.62279769
119.8551793,-0.7003746
-122.32426584,47.60921335
-43.792328,-22.8652908
-113.49705132,53.51810982
106.82087,-6.47768
-79.7684231,43.7058346
-84.59549116,39.40024407
-43.91274418,-19.89942205
-43.9777687,-19.9347771
-44.2047631,-22.5454901
-86.73456482,35.94619
104.4584,0.91709
-46.63641789,-23.62704456
100.29082251,5.3558109
119.40242,-5.1744
-93.14277486,44.80412896
-116.98744131,46.74160233
-98.48471258,34.74914578
-40.31542597,-20.29855402
111.16585474,-6.71543553
-43.2601446,-22.6360341
-43.9441495,-19.9291086
-43.1844188,-22.9642102
-43.289041,-22.8826602
-96.59959748,39.20431164
-82.3262021,27.82736616
-43.2748748,-22.9033622
-43.94880244,-19.92606652
-43.35303928,-22.92856092
-88.7037541,34.0439698
-43.91269419,-19.89937495
-43.1016101,-22.8970351
-59.06302,-15.2952669
112.27848063,-7.42206427
44.4515486,33.3301283
-5.85045236,54.86147092
-43.3360481,-22.9375112
-43.91284277,-19.89948621
-43.42341967,-22.80390271
-76.6412066,39.3365922
-2.52488783,53.72773487
-79.28515,43.74285
103.7397955,1.3421605
-72.53351466,42.40863414
106.89617,-6.11595
-46.37126161,-23.97257017
-43.97874291,-19.90361386
-43.9878905,-19.9427105
106.92696149,-6.9073927
-45.2291877,-18.2031436
110.8562207,-6.7742103
-1.25694265,52.99946882
-43.37584252,-22.97307829
-49.28037258,-16.7250768
112.51915,-8.14653
-82.7342843,28.2565928
-43.97399539,-19.93814615
-1.5034819,53.3657636
-43.42347959,-22.80390436
-49.7395463,-21.66989
-44.03935095,-19.62717923
47.93148824,29.31426017
-43.21647821,-22.98214841
-43.05603054,-22.94958295
-75.06180696,40.05110644
-43.12469384,-22.90110054
106.534076,-6.220863
-79.95528742,39.66653646
-43.35723407,-21.78040741
-81.7675432,26.24231114
-43.0400868,-22.9451533
-92.9772078,45.5184155
-81.1084456,37.3558006
-117.23802395,32.87947887
-81.78219823,32.41011799
-92.48054461,31.29517398
0.54836045,51.89386792
-73.59072601,45.51613513
104.4424302,0.90883223
118.8033216,-8.49663149
119.4627169,-5.1719808
112.27418214,-7.41789405
-43.9406776,-4.2552836
-43.30662542,-22.79056572
119.8620641,-0.9115122
119.8620641,-0.9115122
0.16030993,51.60935914
-96.656337,40.772594
-43.18795055,-22.81802508
-78.79108565,42.83340364
-81.51363926,30.06100137
-92.3400442,42.530901
-123.05396968,44.0569912
114.62897,-3.35772
-77.0443478,-12.0659315
-3.03540045,53.43461545
30.3715522,-30.8601708
-112.0370943,46.6121086
101.7497742,3.1468621
119.437,-5.17239
